Wall time,Step,Value
1600889389.83102,0,0.5354946851730347
1600889421.898772,1,0.6699273586273193
1600889453.97992,2,0.7160424590110779
1600889486.056215,3,0.7438513040542603
1600889518.18369,4,0.7620179057121277
1600889550.344485,5,0.7730575799942017
1600889582.479962,6,0.7814421653747559
1600889614.637585,7,0.7972331047058105
1600889646.798243,8,0.804639458656311
1600889678.80582,9,0.8093907237052917
1600889710.92706,10,0.8183342814445496
1600889743.021324,11,0.8311905860900879
1600889775.181984,12,0.838876485824585
1600889807.336415,13,0.8437674641609192
1600889839.387296,14,0.846422553062439
1600889871.526684,15,0.8485187292098999
1600889903.62224,16,0.8552263975143433
1600889935.763603,17,0.8610956072807312
1600889967.892951,18,0.8685019612312317
1600890000.034794,19,0.86514812707901
1600890032.201748,20,0.8704583644866943
1600890064.347066,21,0.8729737401008606
1600890096.519967,22,0.8784236907958984
1600890128.651991,23,0.8856903314590454
1600890160.786193,24,0.8897428512573242
1600890192.952795,25,0.8944941163063049
1600890225.152848,26,0.8946338891983032
1600890257.3083,27,0.8957518339157104
1600890289.504719,28,0.8967300057411194
