Wall time,Step,Value
1600879100.848875,0,0.8641123175621033
1600879457.89455,1,0.4870501458644867
1600879814.581963,2,0.38003110885620117
1600880170.858904,3,0.322754830121994
1600880527.167521,4,0.2907974421977997
1600880883.685272,5,0.27039578557014465
1600881239.864626,6,0.25410616397857666
1600881596.497689,7,0.24197159707546234
1600881953.010781,8,0.2315388321876526
1600882310.020839,9,0.22495904564857483
1600882667.688679,10,0.21675868332386017
1600883024.041776,11,0.21191748976707458
1600883380.230127,12,0.20696282386779785
1600883736.487595,13,0.20186275243759155
1600884092.614443,14,0.19834712147712708
1600884448.638664,15,0.1945340484380722
